nom_fr,year,month,day,date,NDDI_median
Marrakech-Safi,2025,2,18,2025-02-18,6.141501020540679
l'Oriental,2025,2,18,2025-02-18,7.290570229881396
Béni Mellal-Khénifra,2025,2,18,2025-02-18,3.055824503623562
Casablanca-Settat,2025,2,18,2025-02-18,4.367704757575184
Rabat-Salé-Kénitra,2025,2,18,2025-02-18,1.9178717670676366
Fès-Meknès,2025,2,26,2025-02-26,3.0199643187303824
Guelmim-Oued Noun,2025,2,26,2025-02-26,20.288900370629886
Laâyoune-Sakia El Hamra,2025,2,26,2025-02-26,22.588155840008334
Souss-Massa,2025,2,26,2025-02-26,12.708317005260513
Dakhla-Oued Ed-Dahab,2025,2,26,2025-02-26,8.11230091799226
Tanger-Tétouan-Al Hoceima,2025,2,26,2025-02-26,1.390811079189109
Drâa-Tafilalet,2025,2,26,2025-02-26,11.025674315044157
Marrakech-Safi,2025,2,26,2025-02-26,5.336055267634179
l'Oriental,2025,2,26,2025-02-26,5.843941643125507
Béni Mellal-Khénifra,2025,2,26,2025-02-26,2.541173576198875
Casablanca-Settat,2025,2,26,2025-02-26,2.4984163243952775
Rabat-Salé-Kénitra,2025,2,26,2025-02-26,1.722780584655598
Fès-Meknès,2025,3,6,2025-03-06,3.167174569111903
Guelmim-Oued Noun,2025,3,6,2025-03-06,33.98682820747671
Laâyoune-Sakia El Hamra,2025,3,6,2025-03-06,22.14145321891153
Souss-Massa,2025,3,6,2025-03-06,13.816658582826943
Dakhla-Oued Ed-Dahab,2025,3,6,2025-03-06,9.660834962322353
Tanger-Tétouan-Al Hoceima,2025,3,6,2025-03-06,1.1350785920453905
Drâa-Tafilalet,2025,3,6,2025-03-06,10.657118291265196
Marrakech-Safi,2025,3,6,2025-03-06,4.587622220790346
l'Oriental,2025,3,6,2025-03-06,5.8470928373177316
Béni Mellal-Khénifra,2025,3,6,2025-03-06,2.0976324035717324
Casablanca-Settat,2025,3,6,2025-03-06,1.9949427501881971
Rabat-Salé-Kénitra,2025,3,6,2025-03-06,1.3690005238192702
Fès-Meknès,2025,3,14,2025-03-14,3.5412608610337797
Guelmim-Oued Noun,2025,3,14,2025-03-14,19.352154755448698
Laâyoune-Sakia El Hamra,2025,3,14,2025-03-14,19.0832344001404
Souss-Massa,2025,3,14,2025-03-14,11.496333195045352
Dakhla-Oued Ed-Dahab,2025,3,14,2025-03-14,8.764467382425241
Tanger-Tétouan-Al Hoceima,2025,3,14,2025-03-14,1.3186083936443402
Drâa-Tafilalet,2025,3,14,2025-03-14,10.04162272478538
Marrakech-Safi,2025,3,14,2025-03-14,3.0337351746405545
l'Oriental,2025,3,14,2025-03-14,5.907459110188143
Béni Mellal-Khénifra,2025,3,14,2025-03-14,2.5479563012928828
Casablanca-Settat,2025,3,14,2025-03-14,1.5282460648093557
Rabat-Salé-Kénitra,2025,3,14,2025-03-14,1.534387435675336
Fès-Meknès,2025,3,22,2025-03-22,2.7859307608308006
Guelmim-Oued Noun,2025,3,22,2025-03-22,16.377173729443765
Laâyoune-Sakia El Hamra,2025,3,22,2025-03-22,30.949200809213103
Souss-Massa,2025,3,22,2025-03-22,10.072212925613503
Dakhla-Oued Ed-Dahab,2025,3,22,2025-03-22,9.351075217989711
Tanger-Tétouan-Al Hoceima,2025,3,22,2025-03-22,1.256590929867456
Drâa-Tafilalet,2025,3,22,2025-03-22,10.67207747826007
Marrakech-Safi,2025,3,22,2025-03-22,3.2187751359207355
l'Oriental,2025,3,22,2025-03-22,5.9550858951705745
Béni Mellal-Khénifra,2025,3,22,2025-03-22,2.085502312295878
Casablanca-Settat,2025,3,22,2025-03-22,1.3522820164447507
Rabat-Salé-Kénitra,2025,3,22,2025-03-22,1.440607111915968
Fès-Meknès,2025,3,30,2025-03-30,2.8230113171452254
Guelmim-Oued Noun,2025,3,30,2025-03-30,38.88036806791148
Laâyoune-Sakia El Hamra,2025,3,30,2025-03-30,23.783267140741987
Souss-Massa,2025,3,30,2025-03-30,11.493201103841912
Dakhla-Oued Ed-Dahab,2025,3,30,2025-03-30,7.654337425165126
Tanger-Tétouan-Al Hoceima,2025,3,30,2025-03-30,1.2515453392442941
Drâa-Tafilalet,2025,3,30,2025-03-30,10.289584286662963
Marrakech-Safi,2025,3,30,2025-03-30,2.63721435970034
l'Oriental,2025,3,30,2025-03-30,4.9622310871658994
Béni Mellal-Khénifra,2025,3,30,2025-03-30,1.8204571616320941
Casablanca-Settat,2025,3,30,2025-03-30,1.0960386966396916
Rabat-Salé-Kénitra,2025,3,30,2025-03-30,1.1521180118358654
Fès-Meknès,2025,4,7,2025-04-07,2.630295734032983
Guelmim-Oued Noun,2025,4,7,2025-04-07,14.131055965670166
Laâyoune-Sakia El Hamra,2025,4,7,2025-04-07,21.25625886264456
Souss-Massa,2025,4,7,2025-04-07,6.259003609720366
Dakhla-Oued Ed-Dahab,2025,4,7,2025-04-07,9.613504054304055
Tanger-Tétouan-Al Hoceima,2025,4,7,2025-04-07,1.11891646167433
Drâa-Tafilalet,2025,4,7,2025-04-07,40.96124118904864
Marrakech-Safi,2025,4,7,2025-04-07,2.011769393290657
l'Oriental,2025,4,7,2025-04-07,5.1320664982340904
Béni Mellal-Khénifra,2025,4,7,2025-04-07,1.7379863080529043
Casablanca-Settat,2025,4,7,2025-04-07,1.2710386334258947
Rabat-Salé-Kénitra,2025,4,7,2025-04-07,1.1346459326821434
Fès-Meknès,2025,4,15,2025-04-15,2.552593181171219
Guelmim-Oued Noun,2025,4,15,2025-04-15,17.656030098023823
Laâyoune-Sakia El Hamra,2025,4,15,2025-04-15,23.40217538833269
Souss-Massa,2025,4,15,2025-04-15,8.751555031714402
Dakhla-Oued Ed-Dahab,2025,4,15,2025-04-15,10.50268743893884
Tanger-Tétouan-Al Hoceima,2025,4,15,2025-04-15,1.10835276425313
Drâa-Tafilalet,2025,4,15,2025-04-15,12.145518958608806
Marrakech-Safi,2025,4,15,2025-04-15,2.4034919658562495
l'Oriental,2025,4,15,2025-04-15,5.9370871857960905
Béni Mellal-Khénifra,2025,4,15,2025-04-15,1.5377834118603098
Casablanca-Settat,2025,4,15,2025-04-15,1.3353022076097159
Rabat-Salé-Kénitra,2025,4,15,2025-04-15,1.116163535124584
Fès-Meknès,2025,4,23,2025-04-23,2.672306069798594
Guelmim-Oued Noun,2025,4,23,2025-04-23,18.23651139828627
Laâyoune-Sakia El Hamra,2025,4,23,2025-04-23,26.499256346897944
Souss-Massa,2025,4,23,2025-04-23,9.274416835384134
Dakhla-Oued Ed-Dahab,2025,4,23,2025-04-23,10.132385217167664
Tanger-Tétouan-Al Hoceima,2025,4,23,2025-04-23,1.190456823355083
Drâa-Tafilalet,2025,4,23,2025-04-23,12.427999447031757
Marrakech-Safi,2025,4,23,2025-04-23,2.3773777882335243
l'Oriental,2025,4,23,2025-04-23,5.529131693859283
Béni Mellal-Khénifra,2025,4,23,2025-04-23,1.7062352547714965
Casablanca-Settat,2025,4,23,2025-04-23,1.5942243740400968
Rabat-Salé-Kénitra,2025,4,23,2025-04-23,1.2720235362337462
Fès-Meknès,2025,5,1,2025-05-01,2.6511885074698682
Guelmim-Oued Noun,2025,5,1,2025-05-01,16.38147790924267
Laâyoune-Sakia El Hamra,2025,5,1,2025-05-01,23.51101311093899
Souss-Massa,2025,5,1,2025-05-01,7.420341732206942
Dakhla-Oued Ed-Dahab,2025,5,1,2025-05-01,10.526911928693401
Tanger-Tétouan-Al Hoceima,2025,5,1,2025-05-01,1.2037555646512252
Drâa-Tafilalet,2025,5,1,2025-05-01,13.493061637930188
Marrakech-Safi,2025,5,1,2025-05-01,3.0580640350858506
l'Oriental,2025,5,1,2025-05-01,5.063336182635597
Béni Mellal-Khénifra,2025,5,1,2025-05-01,1.9160837637442023
Casablanca-Settat,2025,5,1,2025-05-01,2.122780665232034
Rabat-Salé-Kénitra,2025,5,1,2025-05-01,1.426971334928982
Fès-Meknès,2025,5,9,2025-05-09,2.5242649281731278
Guelmim-Oued Noun,2025,5,9,2025-05-09,19.293320255725597
Laâyoune-Sakia El Hamra,2025,5,9,2025-05-09,38.299131713896266
Souss-Massa,2025,5,9,2025-05-09,14.178373724262585
Dakhla-Oued Ed-Dahab,2025,5,9,2025-05-09,9.217948749653429
Tanger-Tétouan-Al Hoceima,2025,5,9,2025-05-09,1.2658300629547645
Drâa-Tafilalet,2025,5,9,2025-05-09,12.671366874340576
Marrakech-Safi,2025,5,9,2025-05-09,3.133507490159966
l'Oriental,2025,5,9,2025-05-09,5.0117852295151755
Béni Mellal-Khénifra,2025,5,9,2025-05-09,1.9401280443854283
Casablanca-Settat,2025,5,9,2025-05-09,2.3654668864833166
Rabat-Salé-Kénitra,2025,5,9,2025-05-09,1.5669801454213548
Fès-Meknès,2025,5,17,2025-05-17,2.3586543367378683
Guelmim-Oued Noun,2025,5,17,2025-05-17,16.195815155645185
Laâyoune-Sakia El Hamra,2025,5,17,2025-05-17,21.74527553438444
Souss-Massa,2025,5,17,2025-05-17,10.842172164827765
Dakhla-Oued Ed-Dahab,2025,5,17,2025-05-17,8.53028988419176
Tanger-Tétouan-Al Hoceima,2025,5,17,2025-05-17,1.3373751705997148
Drâa-Tafilalet,2025,5,17,2025-05-17,14.76284056855685
Marrakech-Safi,2025,5,17,2025-05-17,4.261090008653633
l'Oriental,2025,5,17,2025-05-17,5.513884487195367
Béni Mellal-Khénifra,2025,5,17,2025-05-17,2.3977234443918745
Casablanca-Settat,2025,5,17,2025-05-17,2.953168612674397
Rabat-Salé-Kénitra,2025,5,17,2025-05-17,1.7484172953170904
Fès-Meknès,2025,5,25,2025-05-25,2.4625286040540217
Guelmim-Oued Noun,2025,5,25,2025-05-25,18.915037447993974
Laâyoune-Sakia El Hamra,2025,5,25,2025-05-25,26.171395470965727
Souss-Massa,2025,5,25,2025-05-25,8.534630664975529
Dakhla-Oued Ed-Dahab,2025,5,25,2025-05-25,8.494002560859665
Tanger-Tétouan-Al Hoceima,2025,5,25,2025-05-25,1.2273888690189445
Drâa-Tafilalet,2025,5,25,2025-05-25,12.13813747116039
Marrakech-Safi,2025,5,25,2025-05-25,5.525011687372941
l'Oriental,2025,5,25,2025-05-25,5.289238010214595
Béni Mellal-Khénifra,2025,5,25,2025-05-25,2.5492354401644586
Casablanca-Settat,2025,5,25,2025-05-25,3.6159259580106466
Rabat-Salé-Kénitra,2025,5,25,2025-05-25,1.9494014225216763
Fès-Meknès,2025,6,2,2025-06-02,2.865885988393868
Guelmim-Oued Noun,2025,6,2,2025-06-02,48.92191944849333
Laâyoune-Sakia El Hamra,2025,6,2,2025-06-02,25.89904028333584
Souss-Massa,2025,6,2,2025-06-02,9.188880146637636
Dakhla-Oued Ed-Dahab,2025,6,2,2025-06-02,9.974737743893105
Tanger-Tétouan-Al Hoceima,2025,6,2,2025-06-02,1.3030001337180586
Drâa-Tafilalet,2025,6,2,2025-06-02,11.153711292790877
Marrakech-Safi,2025,6,2,2025-06-02,5.11022747455802
l'Oriental,2025,6,2,2025-06-02,5.802997104408481
Béni Mellal-Khénifra,2025,6,2,2025-06-02,4.548563207720421
Casablanca-Settat,2025,6,2,2025-06-02,3.886628196332867
Rabat-Salé-Kénitra,2025,6,2,2025-06-02,2.055093849961506
Fès-Meknès,2025,6,10,2025-06-10,3.039702019032657
Guelmim-Oued Noun,2025,6,10,2025-06-10,17.502982056598242
Laâyoune-Sakia El Hamra,2025,6,10,2025-06-10,24.560141530287822
Souss-Massa,2025,6,10,2025-06-10,18.259847408432627
Dakhla-Oued Ed-Dahab,2025,6,10,2025-06-10,15.109130491323878
Tanger-Tétouan-Al Hoceima,2025,6,10,2025-06-10,1.6832618782176283
Drâa-Tafilalet,2025,6,10,2025-06-10,11.552060684214924
Marrakech-Safi,2025,6,10,2025-06-10,5.674457236064815
l'Oriental,2025,6,10,2025-06-10,6.088566012849385
Béni Mellal-Khénifra,2025,6,10,2025-06-10,3.1339443026238007
Casablanca-Settat,2025,6,10,2025-06-10,4.233071882249232
Rabat-Salé-Kénitra,2025,6,10,2025-06-10,2.4948104556654567
Fès-Meknès,2025,6,18,2025-06-18,3.1504539477699907
Guelmim-Oued Noun,2025,6,18,2025-06-18,27.747611873995478
Laâyoune-Sakia El Hamra,2025,6,18,2025-06-18,25.927743211880255
Souss-Massa,2025,6,18,2025-06-18,10.489898139955992
Dakhla-Oued Ed-Dahab,2025,6,18,2025-06-18,11.449008238831192
Tanger-Tétouan-Al Hoceima,2025,6,18,2025-06-18,1.731153791053537
Drâa-Tafilalet,2025,6,18,2025-06-18,21.03743808218126
Marrakech-Safi,2025,6,18,2025-06-18,6.252607443125141
l'Oriental,2025,6,18,2025-06-18,6.522499506323164
Béni Mellal-Khénifra,2025,6,18,2025-06-18,3.030527516693124
Casablanca-Settat,2025,6,18,2025-06-18,4.4964800924674035
Rabat-Salé-Kénitra,2025,6,18,2025-06-18,2.6188032103838297
Fès-Meknès,2025,6,26,2025-06-26,3.596323412782996
Guelmim-Oued Noun,2025,6,26,2025-06-26,20.588259409204035
Laâyoune-Sakia El Hamra,2025,6,26,2025-06-26,25.26388485364896
Souss-Massa,2025,6,26,2025-06-26,8.660556106441373
Dakhla-Oued Ed-Dahab,2025,6,26,2025-06-26,8.802161232877252
Tanger-Tétouan-Al Hoceima,2025,6,26,2025-06-26,1.9605660387303414
Drâa-Tafilalet,2025,6,26,2025-06-26,13.037298841510328
Marrakech-Safi,2025,6,26,2025-06-26,7.071642088912965
l'Oriental,2025,6,26,2025-06-26,6.991399579029222
Béni Mellal-Khénifra,2025,6,26,2025-06-26,3.7098904747316186
Casablanca-Settat,2025,6,26,2025-06-26,5.456060005205741
Rabat-Salé-Kénitra,2025,6,26,2025-06-26,2.7879786361313754
Fès-Meknès,2025,7,4,2025-07-04,3.6394275821950335
Guelmim-Oued Noun,2025,7,4,2025-07-04,30.141684899149613
Laâyoune-Sakia El Hamra,2025,7,4,2025-07-04,48.03399939822905
Souss-Massa,2025,7,4,2025-07-04,11.383532394265405
Dakhla-Oued Ed-Dahab,2025,7,4,2025-07-04,8.588591705051128
Tanger-Tétouan-Al Hoceima,2025,7,4,2025-07-04,2.1028388466954175
Drâa-Tafilalet,2025,7,4,2025-07-04,11.981313915325398
Marrakech-Safi,2025,7,4,2025-07-04,7.645697588655297
l'Oriental,2025,7,4,2025-07-04,6.769741545521111
Béni Mellal-Khénifra,2025,7,4,2025-07-04,3.342551221150845
Casablanca-Settat,2025,7,4,2025-07-04,5.970317972625127
Rabat-Salé-Kénitra,2025,7,4,2025-07-04,3.020126066051008
Fès-Meknès,2025,7,12,2025-07-12,4.066544214876274
Guelmim-Oued Noun,2025,7,12,2025-07-12,31.285705978310737
Laâyoune-Sakia El Hamra,2025,7,12,2025-07-12,51.13437206358868
Souss-Massa,2025,7,12,2025-07-12,8.852668813652771
Dakhla-Oued Ed-Dahab,2025,7,12,2025-07-12,8.531430793619245
Tanger-Tétouan-Al Hoceima,2025,7,12,2025-07-12,2.3804497654641272
Drâa-Tafilalet,2025,7,12,2025-07-12,13.73209946778341
Marrakech-Safi,2025,7,12,2025-07-12,7.1425657506908005
l'Oriental,2025,7,12,2025-07-12,11.44439170189254
Béni Mellal-Khénifra,2025,7,12,2025-07-12,3.5885618764932463
Casablanca-Settat,2025,7,12,2025-07-12,6.329310333203038
Rabat-Salé-Kénitra,2025,7,12,2025-07-12,3.116234410167952
Fès-Meknès,2025,7,20,2025-07-20,3.5667984401312753
Guelmim-Oued Noun,2025,7,20,2025-07-20,17.863996038175216
Laâyoune-Sakia El Hamra,2025,7,20,2025-07-20,25.84335201559065
Souss-Massa,2025,7,20,2025-07-20,9.289767620867824
Dakhla-Oued Ed-Dahab,2025,7,20,2025-07-20,9.38621390208469
Tanger-Tétouan-Al Hoceima,2025,7,20,2025-07-20,2.3209650137172915
Drâa-Tafilalet,2025,7,20,2025-07-20,14.175721299758392
Marrakech-Safi,2025,7,20,2025-07-20,8.394585121609653
l'Oriental,2025,7,20,2025-07-20,6.007043558524286
Béni Mellal-Khénifra,2025,7,20,2025-07-20,3.791242489024705
Casablanca-Settat,2025,7,20,2025-07-20,6.161838474297642
Rabat-Salé-Kénitra,2025,7,20,2025-07-20,2.9382542841262045
Fès-Meknès,2025,7,28,2025-07-28,4.257234227120671
Guelmim-Oued Noun,2025,7,28,2025-07-28,19.334686731250926
Laâyoune-Sakia El Hamra,2025,7,28,2025-07-28,25.5134403366153
Souss-Massa,2025,7,28,2025-07-28,24.287974136801978
Dakhla-Oued Ed-Dahab,2025,7,28,2025-07-28,8.810670314927185
Tanger-Tétouan-Al Hoceima,2025,7,28,2025-07-28,2.260404473507816
Drâa-Tafilalet,2025,7,28,2025-07-28,15.250246765185041
Marrakech-Safi,2025,7,28,2025-07-28,10.952686062149969
l'Oriental,2025,7,28,2025-07-28,8.63631910312202
Béni Mellal-Khénifra,2025,7,28,2025-07-28,4.16589092373297
Casablanca-Settat,2025,7,28,2025-07-28,6.106675281007116
Rabat-Salé-Kénitra,2025,7,28,2025-07-28,3.298701054117471
Fès-Meknès,2025,8,5,2025-08-05,4.104390797114736
Guelmim-Oued Noun,2025,8,5,2025-08-05,15.035031561564349
Laâyoune-Sakia El Hamra,2025,8,5,2025-08-05,20.58015822439887
Souss-Massa,2025,8,5,2025-08-05,9.545878162934224
Dakhla-Oued Ed-Dahab,2025,8,5,2025-08-05,6.261889031062743
Tanger-Tétouan-Al Hoceima,2025,8,5,2025-08-05,2.202290955641232
Drâa-Tafilalet,2025,8,5,2025-08-05,13.84454483543158
Marrakech-Safi,2025,8,5,2025-08-05,6.883021573373759
l'Oriental,2025,8,5,2025-08-05,8.015430753466385
Béni Mellal-Khénifra,2025,8,5,2025-08-05,4.554503168039825
Casablanca-Settat,2025,8,5,2025-08-05,7.43176877131194
Rabat-Salé-Kénitra,2025,8,5,2025-08-05,3.924565173692319
Fès-Meknès,2025,8,13,2025-08-13,4.089520402892292
Guelmim-Oued Noun,2025,8,13,2025-08-13,46.27705503384785
Laâyoune-Sakia El Hamra,2025,8,13,2025-08-13,24.71073687434395
Souss-Massa,2025,8,13,2025-08-13,11.021659594038788
Dakhla-Oued Ed-Dahab,2025,8,13,2025-08-13,8.349234134556985
Tanger-Tétouan-Al Hoceima,2025,8,13,2025-08-13,2.5094770124880745
Drâa-Tafilalet,2025,8,13,2025-08-13,18.062779125300622
Marrakech-Safi,2025,8,13,2025-08-13,5.829012165691909
l'Oriental,2025,8,13,2025-08-13,6.27669622429848
Béni Mellal-Khénifra,2025,8,13,2025-08-13,5.0853525478416834
Casablanca-Settat,2025,8,13,2025-08-13,7.436152927030593
Rabat-Salé-Kénitra,2025,8,13,2025-08-13,3.7607860894217984
Fès-Meknès,2025,8,21,2025-08-21,3.7829819530840196
Guelmim-Oued Noun,2025,8,21,2025-08-21,22.76423270987276
Laâyoune-Sakia El Hamra,2025,8,21,2025-08-21,21.766674128954694
Souss-Massa,2025,8,21,2025-08-21,11.209800606691639
Dakhla-Oued Ed-Dahab,2025,8,21,2025-08-21,11.354827426573289
Tanger-Tétouan-Al Hoceima,2025,8,21,2025-08-21,2.6764877224140737
Drâa-Tafilalet,2025,8,21,2025-08-21,14.094744236204583
Marrakech-Safi,2025,8,21,2025-08-21,8.441549580881217
l'Oriental,2025,8,21,2025-08-21,7.5878029642555855
Béni Mellal-Khénifra,2025,8,21,2025-08-21,4.423198305518864
Casablanca-Settat,2025,8,21,2025-08-21,10.10734346465986
Rabat-Salé-Kénitra,2025,8,21,2025-08-21,3.466103579934704
Fès-Meknès,2025,8,29,2025-08-29,3.9900381460697414
Guelmim-Oued Noun,2025,8,29,2025-08-29,17.010311248803966
Laâyoune-Sakia El Hamra,2025,8,29,2025-08-29,67.018163191264
Souss-Massa,2025,8,29,2025-08-29,14.015457123370298
Dakhla-Oued Ed-Dahab,2025,8,29,2025-08-29,10.084437374075726
Tanger-Tétouan-Al Hoceima,2025,8,29,2025-08-29,2.518046336753563
Drâa-Tafilalet,2025,8,29,2025-08-29,12.759391406582635
Marrakech-Safi,2025,8,29,2025-08-29,11.07747734174047
l'Oriental,2025,8,29,2025-08-29,7.825932333830924
Béni Mellal-Khénifra,2025,8,29,2025-08-29,4.080851677241497
Casablanca-Settat,2025,8,29,2025-08-29,7.407293475446416
Rabat-Salé-Kénitra,2025,8,29,2025-08-29,4.302864809348409
Fès-Meknès,2025,9,6,2025-09-06,4.241867077831597
Guelmim-Oued Noun,2025,9,6,2025-09-06,19.064351946649513
Laâyoune-Sakia El Hamra,2025,9,6,2025-09-06,24.14968759767735
Souss-Massa,2025,9,6,2025-09-06,14.565418293283763
Dakhla-Oued Ed-Dahab,2025,9,6,2025-09-06,7.752636227866661
Tanger-Tétouan-Al Hoceima,2025,9,6,2025-09-06,2.7020825692767834
Drâa-Tafilalet,2025,9,6,2025-09-06,13.694880230858987
Marrakech-Safi,2025,9,6,2025-09-06,8.943340122813506
l'Oriental,2025,9,6,2025-09-06,10.59259339603973
Béni Mellal-Khénifra,2025,9,6,2025-09-06,5.824416366160428
Casablanca-Settat,2025,9,6,2025-09-06,8.412704364132788
Rabat-Salé-Kénitra,2025,9,6,2025-09-06,5.393562998435641
Fès-Meknès,2025,9,14,2025-09-14,4.51978096119881
Guelmim-Oued Noun,2025,9,14,2025-09-14,17.89214238810072
Laâyoune-Sakia El Hamra,2025,9,14,2025-09-14,19.954182695109818
Souss-Massa,2025,9,14,2025-09-14,10.342577670232298
Dakhla-Oued Ed-Dahab,2025,9,14,2025-09-14,9.699599012470431
Tanger-Tétouan-Al Hoceima,2025,9,14,2025-09-14,3.152717425665781
Drâa-Tafilalet,2025,9,14,2025-09-14,13.033208449067871
Marrakech-Safi,2025,9,14,2025-09-14,9.04704622453578
l'Oriental,2025,9,14,2025-09-14,8.341248844001237
