nom_fr,date,NDVI,NDWI,NDDI_corrige
Fès-Meknès,2025-01-01,0.3115768897910852,-0.06929276136495695,1.0698516335655084
Guelmim-Oued Noun,2025-01-01,0.0992871983143082,-0.09100817710211467,7.003741843639525
Laâyoune-Sakia El Hamra,2025-01-01,0.0818068312398424,-0.08420355425131285,2.906535601179791
Souss-Massa,2025-01-01,0.1533331144326038,-0.0925940312262179,4.198162596133445
Dakhla-Oued Ed-Dahab,2025-01-01,0.07123568458502523,-0.07921921037104022,2.164550387146394
Tanger-Tétouan-Al Hoceima,2025-01-01,0.4450472371478149,0.016892745332694237,1.2807492546940829
Drâa-Tafilalet,2025-01-01,0.12743674913335662,-0.05501424206379415,0.71963781683584
Marrakech-Safi,2025-01-01,0.21535578243371895,-0.08724027174454252,4.114875747914834
l'Oriental,2025-01-01,0.1830224208309196,-0.1258706522062217,2.079880253169976
Béni Mellal-Khénifra,2025-01-01,0.2698447363344045,-0.009997230676872823,1.4474347447654707
Casablanca-Settat,2025-01-01,0.2955265085006104,-0.02703011093000938,1.3927051940105484
Rabat-Salé-Kénitra,2025-01-01,0.35352867103347535,-0.02060639658506007,1.518716438408471
Fès-Meknès,2025-01-09,0.32887801586493115,-0.050797207607606254,1.4641090701761763
Guelmim-Oued Noun,2025-01-09,0.08030788934927978,-0.07167518821860185,7.268681321187151
Laâyoune-Sakia El Hamra,2025-01-09,0.06533964242289925,-0.07098482377789674,4.9490673398976135
Souss-Massa,2025-01-09,0.14544472393582208,-0.09286377402396959,3.908756359994695
Dakhla-Oued Ed-Dahab,2025-01-09,0.05368865522502217,-0.07466565531648732,1.6148652287645826
Tanger-Tétouan-Al Hoceima,2025-01-09,0.43372606611997444,0.03686843862724336,1.187878634584872
Drâa-Tafilalet,2025-01-09,0.13932418941569324,-0.061664179050972365,-0.11525066626941688
Marrakech-Safi,2025-01-09,0.1944096129177182,-0.07420448504101562,3.3305379606717476
l'Oriental,2025-01-09,0.1763743718243193,-0.10134187474336961,2.4756391528537423
Béni Mellal-Khénifra,2025-01-09,0.2802552461652872,-0.012233176443656969,1.5563395010454928
Casablanca-Settat,2025-01-09,0.26540050614466565,0.0023047928429699395,1.1040508714843331
Rabat-Salé-Kénitra,2025-01-09,0.3764453988934125,0.016056924756011316,0.6277934474077053
Fès-Meknès,2025-01-17,0.32410101730677154,-0.04524324241334209,1.190779107349751
Guelmim-Oued Noun,2025-01-17,0.08335439076963626,-0.08177928060252843,4.235989280841695
Laâyoune-Sakia El Hamra,2025-01-17,0.07183851069507176,-0.08718018566214923,0.2722749149932903
Souss-Massa,2025-01-17,0.13818549405887906,-0.09755102526588766,4.362198236961656
Dakhla-Oued Ed-Dahab,2025-01-17,0.09737651690685567,-0.07424323869145764,1.511281215810503
Tanger-Tétouan-Al Hoceima,2025-01-17,0.41561478090395926,0.007489166499286212,1.0462006340397154
Drâa-Tafilalet,2025-01-17,0.1414443573671119,-0.06180505859650068,-0.3404319948749986
Marrakech-Safi,2025-01-17,0.19888527566334788,-0.0786060938130113,2.7593665530756404
l'Oriental,2025-01-17,0.1876930992752883,-0.09881148610391434,-0.8564470458884665
Béni Mellal-Khénifra,2025-01-17,0.27289220127455205,-0.01822713874009282,1.7967479146844574
Casablanca-Settat,2025-01-17,0.28846102464795326,-0.0037972078497746516,0.7541323567490517
Rabat-Salé-Kénitra,2025-01-17,0.3581457839782303,0.00518673119991407,0.3156818717727118
Fès-Meknès,2025-01-25,0.35664999291417554,-0.025036218116022833,1.974696959794819
Guelmim-Oued Noun,2025-01-25,0.0662943846925498,-0.06058598249114057,2.7315017069367618
Laâyoune-Sakia El Hamra,2025-01-25,0.06110233603730852,-0.0671436394934424,2.119789984823541
Souss-Massa,2025-01-25,0.12351466107310313,-0.07131246973415933,2.8120535074046344
Dakhla-Oued Ed-Dahab,2025-01-25,0.05265440014567296,-0.06310266675962205,2.8264994864186352
Tanger-Tétouan-Al Hoceima,2025-01-25,0.466021607232612,0.07427522281427353,1.0761022574600785
Drâa-Tafilalet,2025-01-25,0.1389847322090268,-0.06265723127627157,2.7828856869822465
Marrakech-Safi,2025-01-25,0.19431468620111855,-0.07207094802805544,4.2634132388411405
l'Oriental,2025-01-25,0.1946536523163003,-0.09096978964114902,2.2663439651908486
Béni Mellal-Khénifra,2025-01-25,0.2692832682421313,-0.013124597126609313,1.7760524279856043
Casablanca-Settat,2025-01-25,0.2776482133891667,0.018309140835929175,2.1600421755708146
Rabat-Salé-Kénitra,2025-01-25,0.3750578668573,0.0441720813707647,0.686181521767114
Fès-Meknès,2025-02-02,0.3757102338451234,0.002070878252615051,1.0680700981044529
Guelmim-Oued Noun,2025-02-02,0.07937202942237076,-0.07863370080497445,5.768921803400179
Laâyoune-Sakia El Hamra,2025-02-02,0.06920462695699511,-0.07351775636482416,4.544962721213946
Souss-Massa,2025-02-02,0.1292837187417523,-0.10485944448524576,1.942075470505021
Dakhla-Oued Ed-Dahab,2025-02-02,0.05165504938377951,-0.049660321176403385,2.7383692487163818
Tanger-Tétouan-Al Hoceima,2025-02-02,0.43550763820343746,0.0469571496392352,1.3294481556528779
Drâa-Tafilalet,2025-02-02,0.10963134220189408,-0.0015691291537722463,0.002674570471236345
Marrakech-Safi,2025-02-02,0.18822557387134378,-0.07744712092175608,3.6240069871613954
l'Oriental,2025-02-02,0.19038604083652305,-0.08837624890542115,1.0401961894367504
Béni Mellal-Khénifra,2025-02-02,0.274530331192067,-0.010646070200862182,1.7486787700751794
Casablanca-Settat,2025-02-02,0.2782447063293937,0.02473099138807032,1.5044562273870181
Rabat-Salé-Kénitra,2025-02-02,0.3668373648793245,0.021815767150955956,1.3949834356017383
Fès-Meknès,2025-02-10,0.3941217847539754,0.0013816405534713234,0.7681344339904373
Guelmim-Oued Noun,2025-02-10,0.07883478881709968,-0.08029560950352436,5.291996875933564
Laâyoune-Sakia El Hamra,2025-02-10,0.06823109247324041,-0.08867364982062298,5.351465478851693
Souss-Massa,2025-02-10,0.13025997551546845,-0.08812243787076574,3.69756732032715
Dakhla-Oued Ed-Dahab,2025-02-10,0.05833851095227768,-0.0624102122999269,3.3063707779892217
Tanger-Tétouan-Al Hoceima,2025-02-10,0.450722292158849,0.051895161840069114,0.9187133685209674
Drâa-Tafilalet,2025-02-10,0.12506753730571293,-0.061618789103565566,2.4964977353647027
Marrakech-Safi,2025-02-10,0.19346742435359948,-0.0856192824299271,3.567742788257809
l'Oriental,2025-02-10,0.18706696637205805,-0.08736084974655635,-0.5711884991487355
Béni Mellal-Khénifra,2025-02-10,0.2797733550946221,-0.026169261556734942,1.89250166916733
Casablanca-Settat,2025-02-10,0.30282235864794704,-0.007945826882131931,1.8303773643203365
Rabat-Salé-Kénitra,2025-02-10,0.4062152908793128,0.029632521331732796,0.9942576355872124
Fès-Meknès,2025-02-18,0.452930806540033,0.06144570107978193,1.0628073237260576
Guelmim-Oued Noun,2025-02-18,0.08231370978653296,-0.07332846946428268,6.097939888584819
