Annee,Mois,nom_fr,mean
2020.0,8.0,Marrakech-Safi,11.142090873086088
2020.0,8.0,l'Oriental,20.992474751210825
2020.0,8.0,Béni Mellal-Khénifra,3.049092254042864
2020.0,8.0,Casablanca-Settat,32.75455573424147
2020.0,8.0,Rabat-Salé-Kénitra,5.006468684701774
2020.0,9.0,Fès-Meknès,0.7516712295100008
2020.0,9.0,Guelmim-Oued Noun,14.919613855847457
2020.0,9.0,Laâyoune-Sakia El Hamra,-10.571204378550844
2020.0,9.0,Souss-Massa,9.20932670314231
2020.0,9.0,Dakhla-Oued Ed-Dahab,5.060237869865522
2020.0,9.0,Tanger-Tétouan-Al Hoceima,17.192110643174633
2020.0,9.0,Drâa-Tafilalet,2.398977017348053
2020.0,9.0,Marrakech-Safi,-14.935874201322099
2020.0,9.0,l'Oriental,21.764082892205277
2020.0,9.0,Béni Mellal-Khénifra,8.294207993981432
2020.0,9.0,Casablanca-Settat,-13.735288913380547
2020.0,9.0,Rabat-Salé-Kénitra,1.503039518017488
2020.0,10.0,Fès-Meknès,-6.766880896996363
2020.0,10.0,Guelmim-Oued Noun,-0.9859963531605057
2020.0,10.0,Laâyoune-Sakia El Hamra,-0.03448678695768944
2020.0,10.0,Souss-Massa,-5.327102273779005
2020.0,10.0,Dakhla-Oued Ed-Dahab,-10.947505065217971
2020.0,10.0,Tanger-Tétouan-Al Hoceima,-0.6953519409051014
2020.0,10.0,Drâa-Tafilalet,9.691505915290549
2020.0,10.0,Marrakech-Safi,2.4693059327188775
2020.0,10.0,l'Oriental,22.93935452822355
2020.0,10.0,Béni Mellal-Khénifra,-2.02258581484494
2020.0,10.0,Casablanca-Settat,8.80961354018726
2020.0,10.0,Rabat-Salé-Kénitra,13.649385103575066
2020.0,11.0,Fès-Meknès,12.148320235884082
2020.0,11.0,Guelmim-Oued Noun,-2.85661327297949
2020.0,11.0,Laâyoune-Sakia El Hamra,15.496444574311951
2020.0,11.0,Souss-Massa,-5.374100695547577
2020.0,11.0,Dakhla-Oued Ed-Dahab,3.094644483277661
2020.0,11.0,Tanger-Tétouan-Al Hoceima,0.8982138815384716
2020.0,11.0,Drâa-Tafilalet,-4.0797115482546635
2020.0,11.0,Marrakech-Safi,-7.699075317713364
2020.0,11.0,l'Oriental,13.169527249638678
2020.0,11.0,Béni Mellal-Khénifra,1.6846612759377704
2020.0,11.0,Casablanca-Settat,-0.031063458431499706
2020.0,11.0,Rabat-Salé-Kénitra,20.966320211227043
2020.0,12.0,Fès-Meknès,4.68037994584011
2020.0,12.0,Guelmim-Oued Noun,12.12259291434731
2020.0,12.0,Laâyoune-Sakia El Hamra,10.691146451770962
2020.0,12.0,Souss-Massa,6.085250249160125
2020.0,12.0,Dakhla-Oued Ed-Dahab,-6.142834848164444
2020.0,12.0,Tanger-Tétouan-Al Hoceima,1.0240686755352233
2020.0,12.0,Drâa-Tafilalet,17.042640034407867
2020.0,12.0,Marrakech-Safi,8.187476394273864E-4
2020.0,12.0,l'Oriental,-11.633298000785791
2020.0,12.0,Béni Mellal-Khénifra,-3.0435505572109216
2020.0,12.0,Casablanca-Settat,-1.8800219350758876
2020.0,12.0,Rabat-Salé-Kénitra,1.3736373773950001
2021.0,1.0,Fès-Meknès,26.427540958368425
2021.0,1.0,Guelmim-Oued Noun,20.451469392383785
