Annee,nom_fr,mean
2008.0,Rabat-Salé-Kénitra,2.6830978429245556
2009.0,Fès-Meknès,6.206164317274916
2009.0,Guelmim-Oued Noun,2.482385140903716
2009.0,Laâyoune-Sakia El Hamra,7.582629521665706
2009.0,Souss-Massa,10.010556716438208
2009.0,Dakhla-Oued Ed-Dahab,4.929511667341411
2009.0,Tanger-Tétouan-Al Hoceima,3.1430789436596602
2009.0,Drâa-Tafilalet,9.178525014325663
2009.0,Marrakech-Safi,7.182118079929452
2009.0,l'Oriental,12.925812811528626
2009.0,Béni Mellal-Khénifra,7.3207890546093495
2009.0,Casablanca-Settat,13.47146014601667
2009.0,Rabat-Salé-Kénitra,3.653651953401323
2010.0,Fès-Meknès,9.58366566883768
2010.0,Guelmim-Oued Noun,5.973821273936843
2010.0,Laâyoune-Sakia El Hamra,6.739520258569145
2010.0,Souss-Massa,5.599375810571444
2010.0,Dakhla-Oued Ed-Dahab,5.647276137968987
2010.0,Tanger-Tétouan-Al Hoceima,6.134608287382876
2010.0,Drâa-Tafilalet,13.772950519010255
2010.0,Marrakech-Safi,5.803115064451944
2010.0,l'Oriental,16.737781906432183
2010.0,Béni Mellal-Khénifra,3.9396662209515565
2010.0,Casablanca-Settat,5.251447877589274
2010.0,Rabat-Salé-Kénitra,2.3893892586329044
2011.0,Fès-Meknès,17.421930037377997
2011.0,Guelmim-Oued Noun,12.175975045284133
2011.0,Laâyoune-Sakia El Hamra,6.303706078980135
2011.0,Souss-Massa,9.344974957863315
2011.0,Dakhla-Oued Ed-Dahab,7.871932821018358
2011.0,Tanger-Tétouan-Al Hoceima,1.686887297066226
2011.0,Drâa-Tafilalet,10.406770913380607
2011.0,Marrakech-Safi,11.089691099266519
2011.0,l'Oriental,13.387291770614276
2011.0,Béni Mellal-Khénifra,3.7539671231239167
2011.0,Casablanca-Settat,6.4753312638061455
2011.0,Rabat-Salé-Kénitra,5.886849680944761
2012.0,Fès-Meknès,14.48300809411879
2012.0,Guelmim-Oued Noun,14.77427143415693
2012.0,Laâyoune-Sakia El Hamra,8.079913307946928
2012.0,Souss-Massa,2.56948453756894
2012.0,Dakhla-Oued Ed-Dahab,7.289526005592156
2012.0,Tanger-Tétouan-Al Hoceima,2.5484676118244
2012.0,Drâa-Tafilalet,9.881164950431229
2012.0,Marrakech-Safi,3.9945226074012123
2012.0,l'Oriental,12.4709238749848
2012.0,Béni Mellal-Khénifra,0.9560403997309002
2012.0,Casablanca-Settat,10.563834766758287
2012.0,Rabat-Salé-Kénitra,3.6845568271066225
2013.0,Fès-Meknès,7.202176251790307
2013.0,Guelmim-Oued Noun,6.983065574471118
2013.0,Laâyoune-Sakia El Hamra,10.249581681761923
2013.0,Souss-Massa,3.193039451265603
2013.0,Dakhla-Oued Ed-Dahab,5.644716656953992
2013.0,Tanger-Tétouan-Al Hoceima,6.961444917983683
2013.0,Drâa-Tafilalet,7.975715678961588
2013.0,Marrakech-Safi,6.925770268581074
2013.0,l'Oriental,12.675613161793283
2013.0,Béni Mellal-Khénifra,4.472652356800485
2013.0,Casablanca-Settat,12.643219729583015
2013.0,Rabat-Salé-Kénitra,2.542214450042765
2014.0,Fès-Meknès,12.964832368102435
2014.0,Guelmim-Oued Noun,5.615274500469288
2014.0,Laâyoune-Sakia El Hamra,4.72596846800885
2014.0,Souss-Massa,7.5968099494032755
2014.0,Dakhla-Oued Ed-Dahab,10.11464410927794
2014.0,Tanger-Tétouan-Al Hoceima,3.38788791742594
2014.0,Drâa-Tafilalet,6.93448343759684
2014.0,Marrakech-Safi,7.346837237628562
2014.0,l'Oriental,16.284978944483093
2014.0,Béni Mellal-Khénifra,4.487268369228023
2014.0,Casablanca-Settat,18.160281210199607
2014.0,Rabat-Salé-Kénitra,5.717429196524123
2015.0,Fès-Meknès,2.2647765532590665
2015.0,Guelmim-Oued Noun,6.861025652555872
2015.0,Laâyoune-Sakia El Hamra,7.574486445047551
2015.0,Souss-Massa,5.402517570019978
2015.0,Dakhla-Oued Ed-Dahab,2.2439026492441623
2015.0,Tanger-Tétouan-Al Hoceima,1.8331841599097416
2015.0,Drâa-Tafilalet,12.90358232141508
2015.0,Marrakech-Safi,7.560786432954611
2015.0,l'Oriental,15.558560179737444
2015.0,Béni Mellal-Khénifra,6.762208365910323
2015.0,Casablanca-Settat,13.359130662545578
2015.0,Rabat-Salé-Kénitra,8.846775687136955
2016.0,Fès-Meknès,16.250179628037603
2016.0,Guelmim-Oued Noun,9.672752488970968
2016.0,Laâyoune-Sakia El Hamra,9.12552316092857
2016.0,Souss-Massa,7.250024877800759
2016.0,Dakhla-Oued Ed-Dahab,11.469487151753347
2016.0,Tanger-Tétouan-Al Hoceima,8.9414496981069
2016.0,Drâa-Tafilalet,6.377124249601916
2016.0,Marrakech-Safi,6.871936766368603
2016.0,l'Oriental,11.650034575351828
2016.0,Béni Mellal-Khénifra,7.758950795738289
2016.0,Casablanca-Settat,8.245983723448482
2016.0,Rabat-Salé-Kénitra,6.801663557661924
2017.0,Fès-Meknès,7.942031840594214
2017.0,Guelmim-Oued Noun,4.855669277203294
2017.0,Laâyoune-Sakia El Hamra,3.881783640828513
2017.0,Souss-Massa,7.865748650257908
2017.0,Dakhla-Oued Ed-Dahab,6.389182096659735
2017.0,Tanger-Tétouan-Al Hoceima,3.5015652830649393
2017.0,Drâa-Tafilalet,3.475319169662451
2017.0,Marrakech-Safi,7.2182592164815
2017.0,l'Oriental,13.022811558036732
2017.0,Béni Mellal-Khénifra,8.124957984625457
2017.0,Casablanca-Settat,12.83965300039535
2017.0,Rabat-Salé-Kénitra,2.4420170536980867
2018.0,Fès-Meknès,2.299120712813343
2018.0,Guelmim-Oued Noun,2.0853460070381433
