nom_fr,date,NDVI,NDWI,NDDI_corrige
Fès-Meknès,2024-01-01,0.3437491302748582,-0.0403368669280188,1.6103929032552762
Guelmim-Oued Noun,2024-01-01,0.09148629248202585,-0.07489051334637441,4.038998645327966
Laâyoune-Sakia El Hamra,2024-01-01,0.08085701882769947,-0.08795011815380019,5.691214511722618
Souss-Massa,2024-01-01,0.16804906042326437,-0.0850146241583834,4.054387847318738
Dakhla-Oued Ed-Dahab,2024-01-01,0.06914566338316079,-0.0927553622860939,2.6054612302100764
Tanger-Tétouan-Al Hoceima,2024-01-01,0.49750971088440116,0.08552598587748839,0.7960193703581933
Drâa-Tafilalet,2024-01-01,0.13408178939365406,-0.08615150685776475,2.1421867189452333
Marrakech-Safi,2024-01-01,0.25176643585056513,-0.04837762842664771,2.3304029814138976
l'Oriental,2024-01-01,0.22647627686810612,-0.08632336695634858,0.8168315319245733
Béni Mellal-Khénifra,2024-01-01,0.2905683317719204,-0.00780408602620281,1.6800261512902461
Casablanca-Settat,2024-01-01,0.33640014795883805,0.023688975776273713,1.4034447024951326
Rabat-Salé-Kénitra,2024-01-01,0.4442376709800732,0.05735826924296795,1.0757214217468172
Fès-Meknès,2024-01-09,0.33837076062337895,-0.06309776844195213,0.6672716324016015
Guelmim-Oued Noun,2024-01-09,0.08727241092694575,-0.04890045325837297,5.141719368021784
Laâyoune-Sakia El Hamra,2024-01-09,0.0783079915006869,-0.07891228544608353,5.0580791716976625
Souss-Massa,2024-01-09,0.1619556357970826,-0.07354078217806584,2.8174214250535643
Dakhla-Oued Ed-Dahab,2024-01-09,0.06608615095496503,-0.05860224849071685,1.627757715745403
Tanger-Tétouan-Al Hoceima,2024-01-09,0.4747100008941033,0.08567634331727773,0.8291807164140248
Drâa-Tafilalet,2024-01-09,0.12805309197355236,-0.08323088238913855,1.544338652508582
Marrakech-Safi,2024-01-09,0.2590809148888817,-0.04752606034456326,2.6045163036967764
l'Oriental,2024-01-09,0.2449819885259588,-0.08303523008876436,1.758955729624325
Béni Mellal-Khénifra,2024-01-09,0.24610082907275607,-0.03311138113900334,1.9267367621081453
Casablanca-Settat,2024-01-09,0.31387922176694877,0.01765031807831307,2.3359156829690413
Rabat-Salé-Kénitra,2024-01-09,0.412012482654025,0.04730402004015717,0.16139170538881764
Fès-Meknès,2024-01-17,0.3699745432486475,-0.03258625857263521,1.131987715348632
Guelmim-Oued Noun,2024-01-17,0.08940952320765992,-0.05894496073737631,4.1793725069485435
Laâyoune-Sakia El Hamra,2024-01-17,0.07260918791590569,-0.06057729044608197,2.113241305036231
Souss-Massa,2024-01-17,0.16063278210406864,-0.08040907006507658,4.308224769333934
Dakhla-Oued Ed-Dahab,2024-01-17,0.057955657969827656,-0.037018470022617,3.5737337047148303
Tanger-Tétouan-Al Hoceima,2024-01-17,0.48293398937156357,0.09444351976355887,1.0389617170329322
Drâa-Tafilalet,2024-01-17,0.11992382586296188,-0.08495830560235527,1.153639570720833
Marrakech-Safi,2024-01-17,0.2681579924133357,-0.041789131539050034,2.198138487999863
l'Oriental,2024-01-17,0.24690880712157146,-0.08384902719778663,2.2037190072855912
Béni Mellal-Khénifra,2024-01-17,0.2745160949017972,-0.022930206890678897,1.9889592171822796
Casablanca-Settat,2024-01-17,0.3369813653111742,0.025285821809065138,0.9376528118852687
Rabat-Salé-Kénitra,2024-01-17,0.42311944310952165,0.05579707092027241,1.4462155301726944
Fès-Meknès,2024-01-25,0.40069933184942197,-0.022344239498561146,1.5588393828196911
Guelmim-Oued Noun,2024-01-25,0.09434069556058473,-0.07732164878633155,5.3397685938167925
Laâyoune-Sakia El Hamra,2024-01-25,0.07991697842883738,-0.08481589622503768,5.157139536862095
Souss-Massa,2024-01-25,0.1652181798145426,-0.09484972279960896,4.159100794079765
Dakhla-Oued Ed-Dahab,2024-01-25,0.07009501195777662,-0.06907697454402957,3.470937553092283
Tanger-Tétouan-Al Hoceima,2024-01-25,0.48121922819227325,0.10876072453416608,0.8408884219912068
Drâa-Tafilalet,2024-01-25,0.11966705453429817,-0.08964276572727752,3.8183551406499134
Marrakech-Safi,2024-01-25,0.2671550766247657,-0.050705284279018575,3.0014193840166756
l'Oriental,2024-01-25,0.19743037187528717,-0.06853920099907417,2.95759600652195
Béni Mellal-Khénifra,2024-01-25,0.2530840405494797,-0.04620381233647985,3.9150311510944427
Casablanca-Settat,2024-01-25,0.2989369283695849,0.05456007005072783,1.4377451194185038
Rabat-Salé-Kénitra,2024-01-25,0.4205016919977956,0.05691644876849341,0.9346114716907701
Fès-Meknès,2024-02-02,0.365024274299744,-0.02326310609649303,2.3440083326121024
Guelmim-Oued Noun,2024-02-02,0.08874107007706336,-0.08578990967975143,6.153494731957794
Laâyoune-Sakia El Hamra,2024-02-02,0.07904974083478195,-0.07851722539476344,4.588151859588817
Souss-Massa,2024-02-02,0.15019985176079614,-0.09625133197351778,4.7384417293592405
Dakhla-Oued Ed-Dahab,2024-02-02,0.07821865347875968,-0.06578193958700994,3.75744543227688
Tanger-Tétouan-Al Hoceima,2024-02-02,0.4887857022688178,0.09768638303361893,0.8436588550252604
Drâa-Tafilalet,2024-02-02,0.12629894622511756,-0.070107283281788,2.4787744156889997
Marrakech-Safi,2024-02-02,0.2473044070104319,-0.06559994467873821,2.526098278031144
l'Oriental,2024-02-02,0.2082500925775131,-0.08622638176442024,0.4182809142597691
Béni Mellal-Khénifra,2024-02-02,0.24557543798120562,-0.04341365210327111,2.3833222679551986
Casablanca-Settat,2024-02-02,0.3258148691609746,-0.007709956286512356,1.5644353418333727
Rabat-Salé-Kénitra,2024-02-02,0.40709089521954744,0.027540040198820094,1.0569549208688727
