nom_fr,year,month,date,P,NDVI,LST,ET_PET,P_mean,P_sd,NDVI_mean,NDVI_sd,NDVI_min,NDVI_max,LST_mean,LST_sd,LST_min,LST_max,Z_P,Z_NDVI,Z_LST,VCI,TCI,PC1_raw,CDAI,Severite
Casablanca-Settat,2000,2,2000-02,12.956957336967742,0.3922429074875502,29.78776753892434,0,42.25201807250884,23.10781165037193,0.5389648644947487,0.11081693166807548,0.336852030174242,0.6864617670812141,21.581236986892726,3.17866950889346,17.098281543466285,29.78776753892434,-1.2677557346746673,-1.324003063418752,-2.5817501722248632,15.843178020595214,0,-3.0877161136595572,-2.462173460600146,Sécheresse exceptionnelle
Rabat-Salé-Kénitra,2000,2,2000-02,13.284827062327569,0.47685046706902307,26.70807515672846,0,59.96714116389728,34.120227050101505,0.5578578599093803,0.06890339951553127,0.3846462492734669,0.6427042567539951,19.68922542134215,2.635388765163243,16.18969904201297,26.70807515672846,-1.3681712619620694,-1.175666126924516,-2.663307147760244,35.72865102332111,0,-3.1334132821765084,-2.498612806513219,Sécheresse exceptionnelle
Fès-Meknès,2000,3,2000-03,21.152781965923666,0.2689876041199178,28.18083310400167,0,52.062543346947365,23.902419161651046,0.3797889757729592,0.04351768163253365,0.2689876041199178,0.4443311498070181,23.18548804460741,2.3469651019696425,18.759903530166422,28.18083310400167,-1.2931645609585496,-2.5461230354285855,-2.1284274977936484,0,0,-3.393966827631516,-2.7063806197025784,Sécheresse exceptionnelle
Guelmim-Oued Noun,2000,3,2000-03,3.14648447338202,0.12310341669778414,34.0942957459004,0,6.764149211366701,3.945530261245714,0.18034999166308785,0.0494989811435598,0.12310341669778414,0.29408024116795234,33.37134720995015,2.140293686272858,27.79094224341605,37.36290564902845,-0.9169020381160332,-1.1565202685540912,-0.33778006288903567,0,34.14771191499069,-1.348887966759777,-1.0756157725726079,Sécheresse modérée
Laâyoune-Sakia El Hamra,2000,3,2000-03,1.9982060986662236,0.11171242589848096,35.31672872193037,0,2.872682610130431,1.3068530265296323,0.12777864219654003,0.02721988559493856,0.10926944238606892,0.22930933216005925,34.29761879495218,1.6862637130678193,30.30268662705762,38.298192272761945,-0.6691467928772316,-0.5902382007456535,-0.6043597564725639,2.034973557252969,37.28919663153184,-1.0929278609119233,-0.8715108107197335,Sécheresse modérée
Souss-Massa,2000,3,2000-03,14.324458254668055,0.18251621041965976,31.582808630623944,0,30.955445079060485,14.779367430060974,0.2329818856184532,0.04672703749159967,0.17529582596025262,0.339095105382109,31.274956442389783,2.211187897385424,25.751859865275502,36.079743165379455,-1.125284076134767,-1.0800101591688942,-0.1392247979460158,4.407799414593946,43.54164401282349,-1.3181660703958193,-1.0511178475360368,Sécheresse modérée
Dakhla-Oued Ed-Dahab,2000,3,2000-03,1.5417563492815691,0.10930931677018636,36.986401246840046,0,0.7746628498091187,0.6486899422977594,0.11669946249402773,0.02641491919062134,0.07084596273291925,0.16923726708074535,36.26661884308248,1.781231275713726,31.035651324140087,39.054921900398625,1.1825271974393303,-0.27977165746792176,-0.40409261479487474,39.088256291103576,25.794341947362874,0.36141118221928986,0.28819262797116457,Normal
Tanger-Tétouan-Al Hoceima,2000,3,2000-03,36.213547866106495,0.4536268210119231,24.674080434511193,0,94.8059103167278,55.17806017729399,0.5250098130237474,0.03432046477397862,0.4536268210119231,0.5724993091400381,21.304113608886823,2.1623992194606383,16.714808398884614,24.924345586215505,-1.061877896076026,-2.0798958429591563,-1.558438791179794,0,3.048464744688054,-2.660651597104213,-2.1216282550435523,Sécheresse exceptionnelle
Drâa-Tafilalet,2000,3,2000-03,16.683687100605365,0.14924451517549078,30.66748775192934,0,34.99800739570379,14.74070148144157,0.15508010868315658,0.01288841457208174,0.13725356981165254,0.18318368750137348,30.16451344434097,2.0322023541992813,26.405363369074575,34.95433243192679,-1.242432072731139,-0.4527782276888094,-0.2475020789878724,26.101250860576712,50.144521918705216,-1.1642728460897742,-0.9284019634635713,Sécheresse modérée
Marrakech-Safi,2000,3,2000-03,18.75644842539368,0.2329483772479868,30.59687284265681,0,48.9938776385123,19.82810573974516,0.30729984025895263,0.07671589973792557,0.20763280130119424,0.4485204834450927,27.402085063876022,2.583134953958528,22.06266604735924,32.42137215038495,-1.5249782107278214,-0.9691793130884592,-1.236787018767614,10.508849948863556,17.613179949928472,-2.2223553878525664,-1.7721267935824365,Sécheresse extrême
l'Oriental,2000,3,2000-03,11.756079956128968,0.15813438090655096,29.089724649902465,0,25.184591579485485,9.54035448986908,0.19994921780788755,0.03302627728397673,0.14811472518332228,0.30261229512415666,26.09599868821842,2.3201623175953556,22.01336767497095,31.231016776244036,-1.407548497030826,-1.2661080914991227,-1.2903088456271368,6.484896323892426,23.230324563053433,-2.3228061047992106,-1.852227126728398,Sécheresse extrême
Béni Mellal-Khénifra,2000,3,2000-03,32.39721640369175,0.30799029702091735,28.97672845861277,0,67.13050934589569,26.86529113815022,0.40194491722010967,0.06072331571286672,0.3053198563700233,0.5017452538462479,23.72994317140798,2.8169414009288745,18.801338633713716,28.97672845861277,-1.292868659550118,-1.5472577394070757,-1.8625823332621267,1.3594498166845266,0,-2.7494766213743067,-2.1924581530472853,Sécheresse exceptionnelle
Casablanca-Settat,2000,3,2000-03,17.19314148944018,0.30826135959474066,32.35467338420937,0,43.35888254124019,16.9689133349549,0.5097463707142637,0.104409568819642,0.30826135959474066,0.6629973138717699,26.1701494985057,3.2315024962150827,20.83424512551919,32.35467338420937,-1.5419809468824512,-1.9297561842015647,-1.913823025960008,0,0,-3.1224345588199447,-2.4898582707059216,Sécheresse exceptionnelle
Rabat-Salé-Kénitra,2000,3,2000-03,23.122124550988016,0.3846748157382053,29.81516663781168,0,67.0579275613875,32.04240854794622,0.5522833001779673,0.06982956953456682,0.3846748157382053,0.6436668462540922,24.159814506128335,2.6056162540987393,19.560601855226754,29.81516663781168,-1.371176668715672,-2.4002508615894165,-2.170447057500216,0,0,-3.4012709629958184,-2.712205004971372,Sécheresse exceptionnelle
