"Region","Date","NDVI_median","NDWI_median","NDDI_median"
"Fès-Meknès",2024-01-01,0.199124001135612,-0.116249044033183,1.03621398198334
"Guelmim-Oued Noun",2024-01-01,0.103636916496151,-0.133985330472682,-3.2543355919349
"Laâyoune-Sakia El Hamra",2024-01-01,0.096921630899277,-0.123104604032687,-4.1312579485791
"Souss-Massa",2024-01-01,0.105763248243139,-0.130917005577641,-2.61436367793974
"Dakhla-Oued Ed-Dahab",2024-01-01,0.0896233232442371,-0.103973789007486,-5.08185263957013
"Tanger-Tétouan-Al Hoceima",2024-01-01,0.605783221124463,0.128392211329329,0.637324590607307
"Drâa-Tafilalet",2024-01-01,0.11360669461996,-0.13380241015429,-2.97257469374928
"Marrakech-Safi",2024-01-01,0.157409788582427,-0.106063944184181,1.60874553980808
"l'Oriental",2024-01-01,0.122457591464099,-0.127291556686904,-3.9404470877653
"Béni Mellal-Khénifra",2024-01-01,0.217253884578633,-0.0976684465657072,1.54809936107973
"Casablanca-Settat",2024-01-01,0.257649791643677,-0.172156908533023,1.83205035234222
"Rabat-Salé-Kénitra",2024-01-01,0.363064503995262,-0.0790578184463381,1.35411398234809
"Fès-Meknès",2024-01-09,0.218687161782542,-0.110088474555915,1.15660463607014
"Guelmim-Oued Noun",2024-01-09,0.0976332452380493,-0.125044053199309,-2.8776170341215
"Laâyoune-Sakia El Hamra",2024-01-09,0.0965260732236645,-0.119812499810167,-4.58551515002746
"Souss-Massa",2024-01-09,0.0999980062002533,-0.123472304370916,-2.56882052413844
"Dakhla-Oued Ed-Dahab",2024-01-09,0.090092559096498,-0.106507068991683,-5.29289312472477
"Tanger-Tétouan-Al Hoceima",2024-01-09,0.570179528717907,0.119168422697447,0.635238655865891
"Drâa-Tafilalet",2024-01-09,0.110896438650041,-0.130513734715334,-2.94237350061611
"Marrakech-Safi",2024-01-09,0.15709047913356,-0.104284953493845,2.00834450274681
"l'Oriental",2024-01-09,0.120866710812848,-0.125162459075335,-3.37176149364587
"Béni Mellal-Khénifra",2024-01-09,0.209748930496502,-0.1018796757744,1.55099673725035
"Casablanca-Settat",2024-01-09,0.256425553331311,-0.184373597888772,1.97663163171265
"Rabat-Salé-Kénitra",2024-01-09,0.387691712539898,-0.058306463670445,1.17276272842831
"Fès-Meknès",2024-01-17,0.212912787232042,-0.11189787479672,1.04241501663234
"Guelmim-Oued Noun",2024-01-17,0.104083156806057,-0.130441962612772,-3.23970796978632
"Laâyoune-Sakia El Hamra",2024-01-17,0.0985593034614855,-0.126800004107343,-4.3760451730328
"Souss-Massa",2024-01-17,0.103552029512227,-0.12740153621935,-2.63654659057232
"Dakhla-Oued Ed-Dahab",2024-01-17,0.0960620962213686,-0.109216824335886,-6.27467800084326
"Tanger-Tétouan-Al Hoceima",2024-01-17,0.595989660637533,0.128016807129708,0.630051092850482
"Drâa-Tafilalet",2024-01-17,0.111479967556047,-0.132469890039751,-3.04145006139725
"Marrakech-Safi",2024-01-17,0.165798353280447,-0.0958483465048269,1.79120702245706
"l'Oriental",2024-01-17,0.123201314999584,-0.130181496501643,-6.13676722322945
"Béni Mellal-Khénifra",2024-01-17,0.231573097756,-0.0972929819848797,1.49793056435675
"Casablanca-Settat",2024-01-17,0.318740584673939,-0.157269313984443,1.69994560690722
"Rabat-Salé-Kénitra",2024-01-17,0.416853206959946,-0.0461996491977711,1.14180309274302
"Fès-Meknès",2024-01-25,0.211580114714673,-0.109226009344714,1.33241819400066
"Guelmim-Oued Noun",2024-01-25,0.101947198266296,-0.132490655291336,-3.341357490717
"Laâyoune-Sakia El Hamra",2024-01-25,0.0968790024469818,-0.120666933184971,-3.58857710810631
"Souss-Massa",2024-01-25,0.10713859546862,-0.128574814574347,-2.59033941906597
"Dakhla-Oued Ed-Dahab",2024-01-25,0.0877339267730815,-0.102832410784019,-5.63910600418997
"Tanger-Tétouan-Al Hoceima",2024-01-25,0.605336454479106,0.128729313028995,0.64076640785158
"Drâa-Tafilalet",2024-01-25,0.112475640818295,-0.132773438968735,-3.10447453130809
"Marrakech-Safi",2024-01-25,0.155286811325656,-0.10993885639773,1.72544734190063
"l'Oriental",2024-01-25,0.123747379642136,-0.121674631593598,4.60564175665313
"Béni Mellal-Khénifra",2024-01-25,0.200600513898614,-0.11739409538444,1.58888661222322
"Casablanca-Settat",2024-01-25,0.260228681822613,-0.17682472211043,1.49812749173841
"Rabat-Salé-Kénitra",2024-01-25,0.407640717037971,-0.061029972598058,1.24648080016644
"Fès-Meknès",2024-02-02,0.199086148984883,-0.109316932997393,1.10615687232411
"Guelmim-Oued Noun",2024-02-02,0.103543479584165,-0.128815856531584,-3.02362389803342
"Laâyoune-Sakia El Hamra",2024-02-02,0.0956170818178115,-0.118647185283049,-4.11666494758852
"Souss-Massa",2024-02-02,0.107410257000517,-0.127535518890178,-2.57095029801906
"Dakhla-Oued Ed-Dahab",2024-02-02,0.0872334646462796,-0.100093936814442,-5.52803470829712
"Tanger-Tétouan-Al Hoceima",2024-02-02,0.581836269130291,0.131598930507068,0.620706035282246
"Drâa-Tafilalet",2024-02-02,0.111931037620074,-0.130135501945794,-2.92411082388428
"Marrakech-Safi",2024-02-02,0.15637320686271,-0.113123288390889,1.87229780915097
"l'Oriental",2024-02-02,0.122873923371005,-0.125289806500701,-3.31534524330644
"Béni Mellal-Khénifra",2024-02-02,0.200121560403385,-0.111675610227254,1.58477345149951
"Casablanca-Settat",2024-02-02,0.24868133984458,-0.177740371672488,1.77447073908733
"Rabat-Salé-Kénitra",2024-02-02,0.403495566906046,-0.0610095440028629,1.28425473418465
"Fès-Meknès",2024-02-10,0.248661431231258,-0.0873289942757936,1.05180852071244
"Guelmim-Oued Noun",2024-02-10,0.10395292537166,-0.133496979210791,-3.22343229446028
"Laâyoune-Sakia El Hamra",2024-02-10,0.0974719878853131,-0.121038177307522,-4.02113252931426
"Souss-Massa",2024-02-10,0.104886043235134,-0.127774031642337,-2.60615567471132
"Dakhla-Oued Ed-Dahab",2024-02-10,0.0891067209161968,-0.105354963207474,-5.75701775114988
"Tanger-Tétouan-Al Hoceima",2024-02-10,0.64949537178867,0.189093075529423,0.546345118473703
"Drâa-Tafilalet",2024-02-10,0.111489865020627,-0.122580953934701,-2.7129910154256
"Marrakech-Safi",2024-02-10,0.164892798234786,-0.0930964792073461,1.84859389378899
"l'Oriental",2024-02-10,0.122768169445414,-0.121360929875331,2.84171231086629
"Béni Mellal-Khénifra",2024-02-10,0.247959663834752,-0.081906465332997,1.40976888478749
"Casablanca-Settat",2024-02-10,0.319822037671169,-0.136866134712316,1.63582192083855
"Rabat-Salé-Kénitra",2024-02-10,0.451877332523306,-0.0128095679908619,1.02472463319315
"Fès-Meknès",2024-02-18,0.213555213445381,-0.0987505282263274,1.12957043917351
"Guelmim-Oued Noun",2024-02-18,0.0997287227121916,-0.123981480260738,-3.1059683545369
"Laâyoune-Sakia El Hamra",2024-02-18,0.0938340634209483,-0.116555938630474,-4.3026375181876
"Souss-Massa",2024-02-18,0.103917742860338,-0.122850425898455,-2.49932394925725
"Dakhla-Oued Ed-Dahab",2024-02-18,0.0895488031197224,-0.101064709747428,-5.72388617914686
"Tanger-Tétouan-Al Hoceima",2024-02-18,0.608091487946206,0.13947613230425,0.619849446114215
"Drâa-Tafilalet",2024-02-18,0.112504918239442,-0.129387289928413,-2.86883453962047
"Marrakech-Safi",2024-02-18,0.157216421413406,-0.0950127459716067,1.97626797526715
"l'Oriental",2024-02-18,0.125450923748929,-0.126608515287113,0.830945365588928
"Béni Mellal-Khénifra",2024-02-18,0.220110073676845,-0.0987288885332619,1.75815465207461
"Casablanca-Settat",2024-02-18,0.262902156593542,-0.142334065381653,2.05699106619628
"Rabat-Salé-Kénitra",2024-02-18,0.434675207140317,-0.0304335469932254,1.1083806656009
"Fès-Meknès",2024-02-26,0.219549221398139,-0.0800014656846649,0.96009311768302
"Guelmim-Oued Noun",2024-02-26,0.101828694369011,-0.126705732470984,-3.12970725645506
"Laâyoune-Sakia El Hamra",2024-02-26,0.0947879396268256,-0.115259304137786,-3.78907182324064
"Souss-Massa",2024-02-26,0.10040311564855,-0.112694336841764,-2.33380669744596
"Dakhla-Oued Ed-Dahab",2024-02-26,0.0866860579769262,-0.103917395726025,-5.89032965885645
"Tanger-Tétouan-Al Hoceima",2024-02-26,0.612059138350567,0.174384252063538,0.551630030062909
"Drâa-Tafilalet",2024-02-26,0.107312251696486,-0.119301918741738,-2.59252711455965
"Marrakech-Safi",2024-02-26,0.156300758868881,-0.0919890169559825,2.09499961470176
"l'Oriental",2024-02-26,0.122193239178611,-0.122764423929417,1.64421012387806
"Béni Mellal-Khénifra",2024-02-26,0.224244496022338,-0.0789538619287782,1.55575847394139
"Casablanca-Settat",2024-02-26,0.304110232171516,-0.135764831633082,1.92194456968317
"Rabat-Salé-Kénitra",2024-02-26,0.502694709624765,0.0423493536804846,0.828138823883467
"Fès-Meknès",2024-03-05,0.253157917405665,-0.0773656606738033,0.810135475400584
"Guelmim-Oued Noun",2024-03-05,0.102785832336874,-0.124975108717744,-3.00714605463396
"Laâyoune-Sakia El Hamra",2024-03-05,0.0970473405446167,-0.120365414875205,-4.5883269583948
"Souss-Massa",2024-03-05,0.103654712391063,-0.116967620223436,-2.30069225772541
