nom_fr,year,month,day_of_year,date,NDVI_median,NDWI_median,NDDI_median,NDDI_mean
Guelmim-Oued Noun,2000,5,137,2000-05-16,0.1035830181690657,-0.10533437666867383,6.464297495045097,3.7914254948490247
Laâyoune-Sakia El Hamra,2000,5,137,2000-05-16,0.08786562324012213,-0.09785876997686965,-6.4793780224750135,5.821269983000955
Souss-Massa,2000,5,137,2000-05-16,0.16995465996545095,-0.10519724279052167,4.322263199692073,6.480852777085262
Dakhla-Oued Ed-Dahab,2000,5,137,2000-05-16,0.08805296772519036,-0.09057369245468454,5.9361213200695,3.98742205797371
Tanger-Tétouan-Al Hoceima,2000,5,137,2000-05-16,0.44374450986726205,0.0541410019035565,1.088602996454067,0.782888908123348
Drâa-Tafilalet,2000,5,137,2000-05-16,0.11154857548547863,-0.09916954985948975,3.9783867001788535,0.8206309179506422
Marrakech-Safi,2000,5,137,2000-05-16,0.29524287289080237,-0.11367583331545245,3.355723529866816,4.878595756646228
l'Oriental,2000,5,137,2000-05-16,0.17561200672615324,-0.11818068234941849,4.518627537609163,1.1247346286698328
Béni Mellal-Khénifra,2000,5,137,2000-05-16,0.2553029187547052,-0.02875645668489226,1.2232977974303807,1.7419851637689945
Casablanca-Settat,2000,5,137,2000-05-16,0.32237832099106417,-0.13291467095813633,3.1095684870777887,9.878411780422676
Rabat-Salé-Kénitra,2000,5,137,2000-05-16,0.3199090820946294,-0.0865473152961879,1.59537841308688,1.653671530770343
Fès-Meknès,2000,5,145,2000-05-24,0.32561692013165244,-0.07434443771457672,1.8942515813742145,1.9069360585675519
Guelmim-Oued Noun,2000,5,145,2000-05-24,0.049791138910614895,-0.06079756381386855,-5.795711045864246,3.416880383728876
Laâyoune-Sakia El Hamra,2000,5,145,2000-05-24,0.0800722962149003,-0.10187581921436788,-8.483878101095122,-4.268097286590139
Souss-Massa,2000,5,145,2000-05-24,0.1523184177368445,-0.09747457250831251,4.567072323079524,6.331613755357904
Dakhla-Oued Ed-Dahab,2000,5,145,2000-05-24,0.0803214730114661,-0.0858805147528795,-10.796240890560178,2.3895514298347305
Tanger-Tétouan-Al Hoceima,2000,5,145,2000-05-24,0.39199024449870024,0.008035277625955623,1.1366358187587893,1.468874629929736
Drâa-Tafilalet,2000,5,145,2000-05-24,0.1150752136449848,-0.09971867813771168,2.032583376256895,-1.1995716863299482
Marrakech-Safi,2000,5,145,2000-05-24,0.23030779765191906,-0.10557829851769397,3.288601775243419,2.7338925251840127
l'Oriental,2000,5,145,2000-05-24,0.17133923285805125,-0.11789097511737394,4.726012864589941,-3.7833278469162663
Béni Mellal-Khénifra,2000,5,145,2000-05-24,0.2169543233712317,-0.03711592124942874,1.3830587468038351,1.7149839754787395
Casablanca-Settat,2000,5,145,2000-05-24,0.18801325316663148,-0.11107242903135327,3.415817320078364,6.249919322116848
Rabat-Salé-Kénitra,2000,5,145,2000-05-24,0.3043479032029572,-0.10263983551018079,2.4886140824920884,2.6948353476276705
Fès-Meknès,2000,6,153,2000-06-01,0.26155577721395856,-0.105342778344906,1.7861770605227705,0.40020956760468684
Guelmim-Oued Noun,2000,6,153,2000-06-01,0.07717723158576482,-0.08788087569883017,-7.103687263813385,-1.0025298788076138
Laâyoune-Sakia El Hamra,2000,6,153,2000-06-01,0.08191585653184537,-0.10561955677952563,-6.634647753490544,-3.3422753002129912
Souss-Massa,2000,6,153,2000-06-01,0.12666097140110147,-0.09945649139856612,5.524210596156898,4.427549831922424
Dakhla-Oued Ed-Dahab,2000,6,153,2000-06-01,0.08784982649600492,-0.08222202875879495,-10.375848569167543,4.556502490040949
Tanger-Tétouan-Al Hoceima,2000,6,153,2000-06-01,0.3901668621820727,-0.008362947765809986,1.393668633623721,1.2976986075421608
Drâa-Tafilalet,2000,6,153,2000-06-01,0.10776457604237598,-0.0924472019628149,2.2161717473398523,5.489201949602288
Marrakech-Safi,2000,6,153,2000-06-01,0.20896307246499313,-0.10580515939012869,3.988170295642837,4.018591148965368
l'Oriental,2000,6,153,2000-06-01,0.1639331555060636,-0.11063939172229592,6.0257938293153,0.010771407943462529
Béni Mellal-Khénifra,2000,6,153,2000-06-01,0.21286948170503084,-0.03655511650389407,1.2566046902521535,1.8302697847969425
Casablanca-Settat,2000,6,153,2000-06-01,0.22296437611494274,-0.11636316354835845,3.2890811786305907,-0.9710981622004672
Rabat-Salé-Kénitra,2000,6,153,2000-06-01,0.22088022888300782,-0.09368374070697792,3.654154046379628,4.5027207467744255
